,params,mean_test_score
17,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.847037037037037
16,"{'C': 1, 'gamma': 0.005, 'kernel': 'linear'}",0.847037037037037
15,"{'C': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.847037037037037
14,"{'C': 0.5, 'gamma': 0.001, 'kernel': 'linear'}",0.8444444444444444
13,"{'C': 0.5, 'gamma': 0.005, 'kernel': 'linear'}",0.8444444444444444
12,"{'C': 0.5, 'gamma': 0.01, 'kernel': 'linear'}",0.8444444444444444
6,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'linear'}",0.8418518518518519
7,"{'C': 0.1, 'gamma': 0.005, 'kernel': 'linear'}",0.8418518518518519
8,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'linear'}",0.8418518518518519
11,"{'C': 0.2, 'gamma': 0.001, 'kernel': 'linear'}",0.8414814814814815
9,"{'C': 0.2, 'gamma': 0.01, 'kernel': 'linear'}",0.8414814814814815
10,"{'C': 0.2, 'gamma': 0.005, 'kernel': 'linear'}",0.8414814814814815
5,"{'C': 0.005, 'gamma': 0.001, 'kernel': 'linear'}",0.8225925925925925
4,"{'C': 0.005, 'gamma': 0.005, 'kernel': 'linear'}",0.8225925925925925
3,"{'C': 0.005, 'gamma': 0.01, 'kernel': 'linear'}",0.8225925925925925
1,"{'C': 0.001, 'gamma': 0.005, 'kernel': 'linear'}",0.7955555555555556
2,"{'C': 0.001, 'gamma': 0.001, 'kernel': 'linear'}",0.7955555555555556
0,"{'C': 0.001, 'gamma': 0.01, 'kernel': 'linear'}",0.7955555555555556
